id;email;jelszo;fiok_tipusa;szemelyes_adatok_id;admin_e
1;admin@admin.com;admin;;;1
2;heroine@outlook.com;yseYHG8v2B;2;83;0
3;panolex@sbcglobal.net;7MNp25f3nA;2;100;0
4;alias@icloud.com;4C3qZv9ENS;1;;0
5;weidai@gmail.com;qRpTbUC6BX;2;3;0
6;elflord@sbcglobal.net;Cn6Dt2cTj4;1;;0
7;yzheng@yahoo.com;zgXaxf6nNe;2;48;0
8;stevelim@aol.com;Q3fdhDgNCL;2;40;0
9;houle@att.net;Kg8Fs2D9n5;1;;0
10;dinther@msn.com;UgYG3eFSaM;2;20;0
11;lstein@icloud.com;8ZFRExvbAk;2;85;0
12;thaljef@msn.com;JCaE4GABcw;2;9;0
13;gboss@icloud.com;szYFLSrR7D;2;2;0
14;campbell@outlook.com;JGH5mQj9tF;2;35;0
15;muadip@outlook.com;Kfejy4mnvq;2;92;0
16;portele@comcast.net;gr6KV5b2j3;2;31;0
17;geeber@verizon.net;4KvsjkrEhP;1;;0
18;munson@outlook.com;jFugYB5TrV;2;41;0
19;mglee@msn.com;rC3xdptWUN;2;91;0
20;sravani@comcast.net;8ANMCgYwBX;2;4;0
21;brbarret@gmail.com;B7DZSFhLa3;2;15;0
22;donev@aol.com;PFe6tGBVRL;2;69;0
23;nasor@att.net;Y2ywEDPRav;2;1;0
24;rfoley@aol.com;QfBL9vRrhS;1;;0
25;njpayne@comcast.net;nW5v9QYR2p;1;;0
26;mgemmons@optonline.net;Q2rc79RLMK;2;10;0
27;rwelty@live.com;HPZtdN4w5D;1;;0
28;sartak@yahoo.ca;MT2PUcuRre;2;79;0
29;dialworld@hotmail.com;Su5Havx8wp;1;;0
30;johnbob@verizon.net;YuLDs9c7zb;1;;0
31;luvirini@sbcglobal.net;LPvTnJC6HK;1;;0
32;jbailie@optonline.net;2uJcFRrh5Q;1;;0
33;danneng@live.com;nHGKZq8P5D;1;;0
34;conteb@aol.com;VTLmF5eBsN;2;93;0
35;kewley@sbcglobal.net;cSF78YvyZe;2;24;0
36;suresh@comcast.net;Jc4DgFmd6j;1;;0
37;denism@yahoo.ca;2DgxzvtLR9;2;8;0
38;jonas@outlook.com;ZqKTuA9S6m;2;38;0
39;munson@aol.com;LdFwtK7aZY;2;46;0
40;donev@icloud.com;K6CXvDWhuq;2;78;0
41;aibrahim@me.com;DhgrPUw7ab;2;53;0
42;balchen@att.net;mjR8FrptJQ;2;44;0
43;improv@yahoo.com;nLHcVpsx5y;2;58;0
44;mchugh@icloud.com;AQ93Zba7hH;1;;0
45;vmalik@msn.com;wAJy7SkHaC;2;43;0
46;thomasj@yahoo.ca;NnE8J3CfkG;1;;0
47;thrymm@att.net;sKkQr38FmH;2;72;0
48;eidac@aol.com;zsBVt3dFDH;2;34;0
49;bartlett@yahoo.com;z7xTg5yHsq;2;97;0
50;rkobes@msn.com;nf8uCWAwLK;1;;0
51;fairbank@mac.com;8VbsgqChQz;1;;0
52;jonathan@gmail.com;NhKU7FLgWv;1;;0
53;kramulous@aol.com;f6wymY52ek;2;51;0
54;muzzy@comcast.net;5Kc4EprFMZ;2;6;0
55;spadkins@yahoo.com;j6zHr9RXyA;1;;0
56;petersko@gmail.com;aL9ZjNDdcG;1;;0
57;pspoole@gmail.com;ex3NsBdptu;2;80;0
58;jdhildeb@icloud.com;zWqU7r385M;2;26;0
59;jeteve@live.com;wEHhUMuxD2;2;87;0
60;kayvonf@att.net;fsnNV3mrKz;1;;0
61;parents@outlook.com;L8f5kKXwpx;2;42;0
