ID,Név,Email-cím,Telefonszám
1,Gáspár Mihály,gasparmihaly@gmail.com,0620516675
2,Veres Kálmán,vereskalman@gmail.com,06202649994
3,Kelemen Ferenc,kelemenferenc@gmail.com,06201604695
4,Fülöp Rajmund,fuloprajmund@gmail.com,06304753949
5,Pataki Bálint,patakibalint@gmail.com,06309066828
6,Tamás Márkó,tamasmarko@gmail.com,06309218250
7,Molnár István,molnaristvan@gmail.com,6302078039
8,Faragó Levente,faragolevente@gmail.com,061481971
9,Fehér Ákos,feherakos@gmail.com,06708856138
10,Balázs Károly,balazskaroly@gmail.com,06706989492
11,Székely Flórián,szekelyflorian@gmail.com,0670574882
12,Vass Ádám,vassadam@gmail.com,06705772249
13,Takács Gergő,takacsgergo@gmail.com,06709270015
14,Molnár Dalma,molnardalma@gmail.com,06203598815
15,Novák Lilla,novaklilla@gmail.com,06206235157
16,Kis Georgina,kisgeorgina@gmail.com,06202595982
17,Biró Dorka,birodorka@gmail.com,062091156
18,Takács Réka,takacsreka@gmail.com,06301539788
19,Fülöp Regina,fulopregina@gmail.com,06301192779
20,Gáspár Ágnes,gasparagnes@gmail.com,06302852781
21,Jakab Dominika,jakabdominika@gmail.com,06305355355
22,Egyed Kíra,egyedkira@gmail.com,06705656529
23,Pintér Éva,pintereva@gmail.com,06706718125
24,Vincze Sára,vinczeSara@gmail.com,06704373270
25,Halász Fruzsina,halaszfruzsina@gmail.com,06701544194
